1000501	Грейамстаун	Грейамстаун — город в Восточной Капской провинции ЮАР, центр муниципалитета Макана. Расположен в 130 км от Порт-Элизабет и в 180 км от Ист-Лондона.
100077	Абу-Грейб	Абу-Грейб, или Абу-Грайб — город в Ираке, расположенный в 20 км к западу от Багдада. Население 189 000 человек (2003 г.).
1002108	Джермистон	Дже́рмистон (Germiston) — административный центр городского округа Экурхулени в провинции Гаутенг (ЮАР).
1005125	Эрмело	Эрмело — община и город в провинции Гелдерланд и лесном районе Велюве, в восточных Нидерландах. Получил городские права в 1863 году.
1006984	Ист-Лондон	Ист-Лондон, Ос-Лонден, реже Баффало-Сити — город на юго-восточном побережье Южно-Африканской Республики в Восточной Капской провинции. Находится на побережье Индийского океана.
1007311	Дурбан	Ду́рбан — центр третьей по населению агломерации ЮАР после Йоханнесбурга и Кейптауна, расположен в городском округе Этеквини провинции Квазулу-Натал. Крупнейший порт. Центр туризма.
101628	Табук	Табу́к — административный район на северо-западе Саудовской Аравии.Административный центр — город Табук. Площадь — 146 072 км², население — 791 535 человек.
1017780	Боксбург	Боксбург — город в провинции Гаутенг Южно-Африканской Республики. Расположен в 20 км на восток от Йоханнесбурга на высоте 1600 м над уровнем моря.
1018725	Блумфонтейн	Блу́мфонтейн — город в ЮАР, центр провинции Фри-Стейт, судебная столица страны.
1019704	Вифлеем	Вифлее́м — город на Западном берегу реки Иордан в исторической области Иудея, находящийся под военным и гражданским контролем Палестинской национальной администрации, столица палестинской провинции Вифлеем; центр паломничества и туризма. Расположен в 10 км к югу от Иерусалима, с которым фактически граничит.
1020098	Бенони	Бено́ни — город в районе Ист-Рэнд провинции Гаутенг, ЮАР. Город-спутник Йоханнесбурга. С 2000 года — часть муниципалитета Экурхулени.
1023441	Альбертон	Альбертон — город провинции Гаутенг Южно-Африканской Республики. Находится в 15 км юго-восточнее Йоханнесбурга и 76 км от г.
1024552	Шаи-Шаи	Шаи-Шаи — город в Мозамбике, административный центр провинции Газа.
102527	Сакака	Сакака — город в Саудовской Аравии, центр административного округа Эль-Джауф. Население — 135 000 человек.
1028434	Келимане	Келима́не, ранее Сан-Мартиньо-де-Келимане — город в Мозамбике, административный центр провинции Замбезия.
103630	Наджран	Наджра́н — город на юго-западе Саудовской Аравии. Административный центр одноимённого административного округа.
1039536	Машише	Машише — город в Мозамбике, расположен в провинции Иньямбане.
1039854	Матола	Матола — город на юге Мозамбика, административный центр провинции Мапуту. Находится в 12 км к западу от столицы страны, Мапуту.
1040652	Мапуту	Мапу́ту — столица и крупнейший город Мозамбика, расположен на юге страны. Крупный порт на берегу Индийского океана, экономическая жизнь сконцентрирована в районе гавани.
1043893	Лишинга	Лишинга — город в Мозамбике, административный центр провинции Ньяса. Расположен на плато Лишинга на высоте около 1360 метров, максимальная высота 1398 метров над уровнем моря.
1045114	Иньямбане (город)	Иньямба́не — город в Мозамбике. Является административным центром одноимённой провинции.
104515	Мекка	Ме́кка, официально Благоро́дная Ме́кка — город на западе Саудовской Аравии, расположенный на расстоянии около 80 км от Красного моря. Административный центр округа Мекка.
1045512	Гурве	Гурве, — город в Мозамбике, расположен в провинции Замбезии.
1049261	Шимойо	Шимо́йо — город на западе Мозамбика. Административный центр провинции Маника.
105072	Хамис-Мушайт	Хамис-Мушайт — город в юго-западной части Саудовской Аравии. Находится в административном округе Асир.
105299	Джизан	Джизан — административный округ на юго-западе Саудовской Аравии.Административный центр — город Джизан. Площадь — 11 671 км², население — 1 365 110 человек.
1053384	Туамасина	Туама́сина, бывший Тамата́ве (Tamatave) — город на востоке Мадагаскара, административный центр округа Туамасина I, района Ацинанана и одноимённой провинции. Население — 325 857 по переписи 2018 года.
105343	Джидда	Джидда — город в западной части Саудовской Аравии. Второй по величине город в стране и её «экономическая столица», а также крупнейший город в административном округе Мекка.
1055429	Тулиара	Тулиа́ра — город на юго-западе Мадагаскара.
1056899	Самбава	Самбава — город на Мадагаскаре.
1062663	Махадзанга	Махадза́нга или Мажу́нга, Маюнга — город на северо-западе Мадагаскара, центр одноимённой провинции. Население — 166 384 чел.. По территории города протекает река Бецибука, впадающая в залив Бумбетука.
106281	Хаиль	Ха́иль — административный округ на севере Саудовской Аравии.Административный центр — город Хаиль. Площадь — 103 887 км², население — 597 144 человек.
10630003	Сюйчжоу	Сюйчжо́у — городской округ в провинции Цзянсу КНР.
1064890	Фианаранцуа	Фианаранцу́а — город в центральной части Мадагаскара, центр одноимённой провинции. Население — 184 090 чел..
1069129	Анциранана	Анцира́нана, также Анцера́нана (Antseranana), до 1975 года — Дие́го-Суа́рес, — город на севере Мадагаскара, административный центр округа Анциранана I, района Диана и провинции Анциранана. Расположен на южном берегу бухты Диего-Суарес Индийского океана.
1069166	Анцирабе	Анцира́бе — третий по величине город на Мадагаскаре. Население — более 250 тыс. человек.
1070940	Антананариву	Антананари́ву — столица Мадагаскара и административный центр одноимённой провинции. Город расположен в центральной части острова Мадагаскара, на Высоком плато, на высоте 1240—1470 метров над уровнем моря.
107304	Бурайда	Бура́йда — город в центральной части Саудовской Аравии. Является административным центром административного округа Эль-Касим.
107797	Дахран	Дахра́н или Эз-Захра́н — город на востоке Саудовской Аравии в провинции Эш-Шаркия, недалеко от Персидского залива. Всего в округе Дахран проживают до 97 446 человек (2004).
107968	Эт-Таиф	Эт-Та́иф — город на западе Саудовской Аравии с населением 521 тысяча жителей. Расположен в историческом регионе Хиджаз в 70 км юго-восточнее Мекки, на высоте 1751 м над уровнем моря.
108410	Эр-Рияд	Эр-Рия́д — столица и крупнейший город Саудовской Аравии. Административный центр округа Эр-Рияд, в составе которого образует одноимённую мухафазу Эр-Рияд.
108512	Аръар	Аръа́р, также Арар — город в Саудовской Аравии, столица административного округа Эль-Худуд-эш-Шамалия. Население — 145 237 человек (2004).
10859300	Ляньюньган	Ляньюньга́н — городской округ в провинции Цзянсу КНР.
108927	Эль-Катиф	Эль-Кати́ф — город в Восточной провинции Саудовской Аравии. Расположен на западном берегу Персидского залива, на высоте 8 м над уровнем моря.
109223	Медина	Меди́на, официально Лучеза́рная Медина — город в исторической области Хиджаз в западной части Саудовской Аравии. Административный центр округа Медина.
109323	Эль-Хубар	Эль-Хубар — город в Саудовской Аравии на берегу Персидского залива. Население — 941 358 человек (2012).
109353	Эль-Хардж	Эль-Хардж, или Эль-Сайх — город в центральной части Саудовской Аравии, в составе одноимённой мухафазы в округе Эр-Рияд, в 77 км к югу от столицы Эр-Рияда.
10942359	Баоцзи	Баоцзи́ — городской округ в провинции Шэньси КНР.
109571	Эль-Хуфуф	Эль-Хуфу́ф — город в Саудовской Аравии. Расположен в Восточном административном районе (Эш-Шаркия).
110336	Эд-Даммам	Эд-Дамма́м, Дамма́м — город-порт в Саудовской Аравии, административный центр округа Эш-Шаркия.
1106542	Читунгвиза	Читунгвиза — город в Зимбабве, расположен в провинции Восточный Машоналенд.
110690	Абха	Абха́ — город на юго-западе Саудовской Аравии и административный центр административного округа Асир. Население по оценочным данным на 2013 год составляет 485 201 человек.
11111027	Шенгавит	Шенгави́т — один из 12 административных районов (округов) Еревана, столицы Армении.
1113217	Заболь	Забо́ль — город на юго-востоке Ирана, в провинции Систан и Белуджистан. Административный центр шахрестана Заболь.
111453	Зенджан	Зенджа́н — город на северо-западе Ирана, административный центр провинции Зенджан.
111822	Йезд	Йезд — один из наиболее древних городов Ирана и центр одноимённой провинции. Население города составляет около 505 тысяч человек.
112214	Верамин	Верами́н — город на севере Ирана в провинции Тегеран, административный центр шахрестана Верамин. Население — 208 569 человек. Расположен в 35 км на юго-запад от Тегерана.
112931	Тегеран	Тегера́н — столица и крупнейший город Ирана и один из крупнейших городов Южной Азии. Административный центр одноимённого остана, политический, экономический, транспортный, торгово-финансовый и культурный центр страны.
1133616	Мазари-Шариф	Маза́ри-Шари́ф — четвёртый по величине город Афганистана. Столица провинции Балх. Один из древнейших и красивейших городов Афганистана.
113646	Тебриз	Тебри́з — город в Иране, административный центр иранской провинции Восточный Азербайджан. Расположен между вулканическими массивами Сехенд и горой Эйнали, у озера Урмия.
1136575	Ташкурган (Китай)	Ташкурган — место пребывания властей Ташкурган-Таджикского автономного уезда в Синьцзяне. Расположен в Памире на высоте 3600 метров там, где сходятся границы Афганистана, Таджикистана, Киргизии и Пакистана, в 230 км к югу от Кашгара по Каракорумскому шоссе.
1138336	Кандагар	Кандага́р — город в южном Афганистане. Второй по численности населения город в стране.
1138958	Кабул	Кабу́л — столица и самый крупный город Афганистана. Единственный город-миллионник страны.
1140026	Герат	Гера́т — город на северо-западе Афганистана в долине реки Герируд. Третий по величине город страны.
1141269	Газни	Газни́ — город в Афганистане, юго-западнее Кабула, на пути в Кандагар. Расположен на гористом плато.
1141857	Гардез	Гарде́з — город на востоке Афганистана, к югу от Кабула. Столица провинции Пактия. В 1980—1987 годах использовался как операционная база ограниченного контингента советских войск в Афганистане, в том числе при проведении крупной войсковой операции по деблокированию стратегического шоссе Гардез-Хост (Матун).
114259	Сирджан	Сирджан — город в южной части Ирана, в остане Керман. Административный центр шахрестана Сирджан.
114593	Сузы	Су́зы (эламск. 𒀸𒋗𒊺𒂗 Шу́шен, 𒋢𒋢𒌦 Шу́шун, 𒀸𒋗𒐼 Шу́шан, 𒀸𒋗𒐼 Шу́ша; др.-перс. 𐏂𐎢𐏁𐎠 Чуша, среднеперс. 𐭮𐭥𐭱𐭩 Суш, 𐭱𐭥𐭮 Шус, перс.
1147540	Баглан	Ба́глан — город в одноимённой афганской провинции, основан приблизительно в 1960 году.
1150007	Транг	Транг — город на юге Таиланда, административный центр одноимённой провинции.
115019	Шираз	Шира́з — город на юге Ирана, административный центр провинции Фарс, шестой по численности населения: в 2016 году в городе проживало 1 869 001 человек. Муниципалитет Шираз разделен на 11 независимых городских территорий и занимает общую площадь 240 км².
1150515	Сураттхани	Сура́ттха́ни — город в одноимённой провинции на юге Таиланда, при впадении реки Тапи в бухту Бандон, в 640 км юго-западнее Бангкока.
1150954	Ратбури	Ра́тбури — город на западе Таиланда, административный центр одноимённой провинции.
1151933	Накхонситхаммарат	Накхо́нситхаммара́т — город в одноимённой провинции на юге Таиланда, в 780 км южнее Бангкока. Хотя город когда-то находился на побережье Сиамского залива, сейчас из-за отступления моря он оказался в 26 км от берега.
1152473	Лампанг	Лампа́нг или Накхон Лампанг — город в провинции Лампанг на севере Таиланда. Третий по величине город на севере Таиланда, столица провинции Лампанг и муниципалитета Лампанг.
1153269	Хуахин	Хуахин — город, являющийся административным центром одноимённого муниципального округа Таиланда в провинции Прачуапкхирикхан в северной части полуострова Малакка, расположенный в 220 километрах к югу от Бангкока на западном побережье Сиамского залива. Население муниципального округа 84 883 человека, площадь 911 км².
1153669	Чианграй	Чианграй — город в северном Таиланде, столица одноимённой провинции. Население — 136 тыс. человек.
1153671	Чиангмай	Чиангма́й, также Чианг Май, — крупнейший город на севере Таиланда, столица одноимённой провинции и второй по величине город страны. Находится в 700 км к северу от Бангкока.
1159301	Захедан	Захеда́н — город в Иране, административный центр провинции Систан и Белуджистан.
